README.md:48: table-row 279 > 200	`--ship-logs`
docs/reference/symbol-corporate-action-ledger.md:18: section 2635 > 2048	## Corporate actions
infra/ansible/files/README.md:1: section 2346 > 2048	# Key inventory
infra/ansible/files/README.md:22: table-row 270 > 200	`zcrypto_hot_push_ed25519{,.pub}`
infra/ansible/host_vars/nas/vars.yml:30: comment-block 21 > 4	# ALWAYS the `-compat` (no-AVX) build: this Atom dies instantly on the default build with `Illegal
infra/ansible/host_vars/nas/vars.yml:69: comment-block 5 > 4	# The four ops channels below address the host by FQDN. The pull loop runs StrictHostKeyChecking=yes
infra/ansible/roles/access/tasks/main.yml:13: comment-block 14 > 4	# Alloy and Caddy are apt packages from THIRD-PARTY repos, so this role FOLLOWS what apt installs
infra/ansible/roles/access/tasks/main.yml:105: comment-block 5 > 4	# Caddy follows apt too, and the version pin was never what protected the mTLS edge: the Caddyfile
infra/ansible/roles/access/tasks/main.yml:170: comment-block 24 > 4	# LAST IN THE ROLE, and skipped under `--check`, because an assert that fails takes the rest of the
infra/ansible/roles/access/tasks/main.yml:222: comment-block 6 > 4	# __not_running__ PASSES: an inactive unit execs from the rendered file at its next activation, so
infra/ansible/roles/access_ops/tasks/main.yml:4: comment-block 5 > 4	# The G1 relay makes THIS host's sshd internet-reachable, and D6's byte-copy relay rewrites the
infra/ansible/roles/access_ops/tasks/main.yml:77: comment-block 5 > 4	# Idempotency is keyed on the pinned version being present under nvm's CURRENT node, not on a
infra/ansible/roles/access_ops/tasks/main.yml:103: comment-block 10 > 4	# Rendered ahead of the unit that ExecStarts it and notifying nothing on purpose: a changed script
infra/ansible/roles/base/tasks/main.yml:1: comment-block 8 > 4	# Fleet policy, pinned in config (spec 00050, spec 00051, .claude/rules/fleet-deploys.md): no two
infra/ansible/roles/base/tasks/main.yml:104: comment-block 6 > 4	# Never logrotate a live docker json log: `copytruncate` truncates a file dockerd holds open,
infra/ansible/roles/capture/files/zcrypto-clock-offset.sh:2: comment-block 7 > 4	# Installed by the `capture` role at /usr/local/sbin/zcrypto-clock-offset, so a hand-edit there is
infra/ansible/roles/capture/tasks/main.yml:2: comment-block 5 > 4	# Deploys the capture daemon: renders the compose file and the systemd unit, and lets the unit's own
infra/ansible/roles/capture/tasks/main.yml:199: comment-block 8 > 4	# The CLI's own Loki push credentials for the CAPTURE container (spec 00068 D5), distinct from the
infra/ansible/roles/capture/tasks/main.yml:251: comment-block 5 > 4	# The absolute path to rrsync keeps the forced command independent of the login shell's PATH.
infra/ansible/roles/capture/tasks/main.yml:263: comment-block 9 > 4	# Segment retention (spec 00050 D8, T0032): a daily timer bounds the host's local spool. The NAS
infra/ansible/roles/capture/tasks/main.yml:342: comment-block 5 > 4	# The three tasks above CREATE this unit and write nothing under --check, so systemd cannot find
infra/ansible/roles/capture/tasks/main.yml:387: comment-block 5 > 4	# The pre-`conf/` layout left a config.alloy one directory ABOVE the deployed one. Nothing mounts
infra/ansible/roles/capture/tasks/main.yml:397: comment-block 6 > 4	# T0110: the gate above skips the config copy on any converge that omits the digest -- by design,
infra/ansible/roles/capture/tasks/main.yml:445: comment-block 6 > 4	# Alloy mounts the host root read-only for free-disk metrics, so a key-owning user's ~/.ssh
infra/ansible/roles/capture/tasks/main.yml:469: comment-block 5 > 4	# The host's persistent journal files are group-readable only, and Alloy reads them through its
infra/ansible/roles/capture/tasks/main.yml:507: comment-block 6 > 4	# Plain `copy`, not `template`: this file is entirely static, and its own header says why
infra/ansible/roles/engine/tasks/main.yml:6: comment-block 8 > 4	# The §8-hardening gate asserts before anything else: the probes are read-only and run with
infra/ansible/roles/engine/tasks/main.yml:22: comment-block 7 > 4	# No pipe, deliberately. As `nft list ruleset | grep -q .` the rc was GREP's alone, so an `nft`
infra/ansible/roles/engine/tasks/main.yml:98: comment-block 6 > 4	# `prohibit-password` is accepted alongside `no`: the gate's substance is that no password-
infra/ansible/roles/engine/tasks/main.yml:106: comment-block 5 > 4	# `\\b`, not `\b`: assert `that:` expressions unicode-escape the Jinja string literal, so a
infra/ansible/roles/engine/tasks/main.yml:121: comment-block 5 > 4	# spec 00082 converge guards (wave 1), immediately after the §8 gate and before anything is written.
infra/ansible/roles/engine/tasks/main.yml:150: comment-block 5 > 4	# spec 00083 D5, the capture role's canary parity mirrored. There is no engine secondary -- the
infra/ansible/roles/engine/tasks/main.yml:262: comment-block 5 > 4	# spec 00082 D1: the reason reaches the play log only when the override was ACCEPTED, i.e. the
infra/ansible/roles/engine/tasks/main.yml:276: comment-block 10 > 4	# The arming backstop: a machine check at the only moment that matters, the converge that would
infra/ansible/roles/engine/tasks/main.yml:292: comment-block 16 > 4	# An unparseable pin yields '' from the join, and '' is in no list, so it REFUSES -- the same fail-
infra/ansible/roles/engine/tasks/main.yml:391: comment-block 8 > 4	# Store delivery, only when absent: converges never clobber a live store. Run a delivering converge
infra/ansible/roles/nas/tasks/main.yml:52: comment-block 5 > 4	# In its OWN directory, which is what compose.yaml bind-mounts. A single-file bind mount binds the
infra/ansible/roles/nas/tasks/main.yml:119: comment-block 19 > 4	# The hot/ hub push channel (spec 00056 D2/D4): the ONE write path into custody. The workstation
infra/ansible/roles/nas/tasks/main.yml:158: comment-block 5 > 4	# No rrsync-only login shell here, unlike ops: DSM accepts ONLY its own built-in shells and refuses
infra/ansible/roles/nas/tasks/main.yml:164: comment-block 5 > 4	# The inbound hot-push forced command lands on zcrypto-data, the m2m data user, NOT the admin
infra/ansible/roles/nas/tasks/main.yml:176: comment-block 5 > 4	# Render-only report: an unflagged converge lands files and says which changed, and nothing
infra/ansible/roles/nas/tasks/main.yml:197: comment-block 8 > 4	# The apply: flag-gated END-OF-ROLE tasks, deliberately NOT a notify/handler pair. A notify consumed
infra/ansible/roles/nas/tasks/main.yml:218: comment-block 5 > 4	# Restarts Alloy so it re-reads the config.alloy THIS converge deployed: the config dir is
infra/ansible/roles/ops/defaults/main.yml:37: comment-block 5 > 4	# Fleet users and groups (spec 00057): the machine-to-machine data user runs the data containers,
infra/ansible/roles/ops/defaults/main.yml:57: comment-block 5 > 4	# The nightly verify-replay checkpoint (spec 00078 D9): the per-hour raw facts that let the sweep
infra/ansible/roles/ops/defaults/main.yml:102: comment-block 8 > 4	# OPS-5 (spec 00054 D2): the overlay writer's knobs. DETECT-ONLY still applies -- the reconciler
infra/ansible/roles/ops/defaults/main.yml:113: comment-block 5 > 4	# The --mint flip (spec 00050 Task 12's last step). DEFAULT FALSE: minting writes healed hours into
infra/ansible/roles/ops/tasks/main.yml:1: comment-block 5 > 4	# The ops role covers the whole ops-node stack (spec 00051, compute tier): OPS-1 provisions the
infra/ansible/roles/ops/tasks/main.yml:23: comment-block 9 > 4	# The zcrypto CLI's own Loki push creds for the ops-node LIQUIDATIONS container (spec 00068 D5/T6)
infra/ansible/roles/ops/tasks/main.yml:57: comment-block 19 > 4	# --- T0058: the NAS custody export, mounted READ-ONLY over NFS. Replaces the retired hourly
infra/ansible/roles/ops/tasks/main.yml:119: comment-block 6 > 4	# spec 00078 D8/D9: the nightly verify-replay checkpoint, bind-mounted at /state as the sweep's only
infra/ansible/roles/ops/tasks/main.yml:145: comment-block 9 > 4	# --- Fleet users/groups (spec 00057, ops phase): the zcrypto-data m2m identity + the hot-out
infra/ansible/roles/ops/tasks/main.yml:226: comment-block 5 > 4	# Hoisted above ALL THREE digest-gated blocks below (spec 00054 Task 1, extended by OPS-5 D2;
infra/ansible/roles/ops/tasks/main.yml:241: comment-block 8 > 4	# --- spec 00082 converge guards (wave 1). Probe idiom: probes never fail or change; the assert
infra/ansible/roles/ops/tasks/main.yml:267: comment-block 5 > 4	# The liquidations compose file is the ONE artifact this converge repins that the role never
infra/ansible/roles/ops/tasks/main.yml:281: comment-block 11 > 4	# spec 00083 D9: grep answered 2 for BOTH "absent" (legitimate first-provision stand-down) and
infra/ansible/roles/ops/tasks/main.yml:336: comment-block 5 > 4	# Reads the liquidations CONTAINER, never the compose file the guard above reads: the file can name
infra/ansible/roles/ops/tasks/main.yml:370: comment-block 5 > 4	# spec 00082 D1 (second half), same shape as the capture and engine roles' pins echo: the reason
infra/ansible/roles/ops/tasks/main.yml:384: comment-block 15 > 4	# The overlay tree arrived here under the NOW-REMOVED NAS pull (spec 00054 D2) via `rsync -a`, which
infra/ansible/roles/ops/tasks/main.yml:407: comment-block 7 > 4	# The overlay-writer runner (OPS-5, spec 00054 D2; re-plumbed by T0058): archive-pull.sh.j2
infra/ansible/roles/ops/tasks/main.yml:444: comment-block 5 > 4	# --- T0083: the Grafana-availability pinger gating the zcrypto-grafana-watchdog dead-man --------
infra/ansible/roles/ops/tasks/main.yml:489: comment-block 6 > 4	# OPS-2: render only — the poller is deliberately NOT auto-started here. First start (and
infra/ansible/roles/ops/tasks/main.yml:522: comment-block 9 > 4	# Only the TIMERS are enabled: the services are the oneshots they trigger, and enabling those
infra/ansible/roles/ops/tasks/main.yml:538: comment-block 12 > 4	# A NEWLY ADDED timer's unit file was never really written under --check, so systemd cannot
infra/ansible/roles/ops/tasks/main.yml:563: comment-block 5 > 4	# The pre-`conf/` layout left a config.alloy one directory ABOVE the deployed one. Nothing mounts
infra/ansible/roles/ops/tasks/main.yml:573: comment-block 5 > 4	# T0110: the Alloy block's digest gate skips the config copy on any converge that omits the digest,
infra/ansible/roles/ops/tasks/main.yml:609: comment-block 5 > 4	# Only on a converge that CANNOT reconcile the drift. A run carrying the digest is about to
infra/ansible/roles/ops/tasks/main.yml:622: comment-block 11 > 4	# Alloy mounts /:/host/root:ro for free-disk-space metrics, so running it as a user whose home
infra/ansible/roles/ops/tasks/main.yml:651: comment-block 7 > 4	# A NAMED group_add entry resolves against the CONTAINER's own /etc/group, not the host's, and
infra/ansible/roles/ops/tasks/main.yml:687: comment-block 6 > 4	# In its OWN directory, which is what the compose file bind-mounts. A single-file bind mount
infra/ansible/roles/ops/tasks/main.yml:710: comment-block 6 > 4	# Renders straight from the vault (group_vars/observed/vault.yml). no_log + diff: false:
infra/ansible/scripts/converge.sh:53: comment-block 6 > 4	# The real pass, RECORDED into a git-tracked log: fleet-pins.md is re-trued from the line this
infra/ansible/site.yml:131: comment-block 7 > 4	# The window condition is mirrored here character-for-character. A folded scalar keeps both the
infra/external-systems.md:126: section 8264 > 2048	### Initial setup<a name="initial-setup"></a>
infra/grafana/alerts.yaml:1: comment-block 31 > 4	# Grafana alert-rule provisioning source (spec 00049; boards split by spec 00084 -- every
infra/grafana/alerts.yaml:38: comment-block 8 > 4	# SUPERSEDES the removed `Gate · not MET` rule (uid zcrypto-gate-not-met, `zcrypto_gate_status
infra/grafana/alerts.yaml:150: comment-block 5 > 4	# its floor is the ENGINE's 4h cycle cadence, not pull health. 21600 = the measured
infra/grafana/alerts.yaml:213: comment-block 7 > 4	# The gate cache (spec 00060) skips replay_cycle on a fingerprint hit -- and that replay is the
infra/grafana/alerts.yaml:268: comment-block 14 > 4	# NOT `zcrypto-engine-sleeve-composition-changed`, the name this rule is called everywhere else:
infra/grafana/alerts.yaml:303: comment-block 5 > 4	# OK, not Alerting -- the same posture as the verify-replay rules. The gauge is deliberately left
infra/grafana/alerts.yaml:330: comment-block 8 > 4	# An ANNOUNCEMENT, not a fault. Without this it inherits the default repeat and re-notifies
infra/grafana/alerts.yaml:340: comment-block 10 > 4	# If you are here to add SCRAPE-level engine liveness (`up{job="engine_app"}`), scope it
infra/grafana/alerts.yaml:378: comment-block 5 > 4	# 16500 s is cadence arithmetic, not a generic staleness number: boundaries are
infra/grafana/alerts.yaml:384: comment-block 6 > 4	# Alerting, and it is the only rule on this subject that takes that posture. The gauge is seeded
infra/grafana/alerts.yaml:416: comment-block 37 > 4	# The conjunction the comment above zcrypto-engine-cycle-stale describes: the engine unreachable
infra/grafana/alerts.yaml:556: comment-block 7 > 4	# 0s: the outcome is already final the instant this gauge reads 0, so any pending period is pure
infra/grafana/alerts.yaml:587: comment-block 11 > 4	# The engine direct-ships its logs exactly as the capture daemon does -- `level` =
infra/grafana/alerts.yaml:641: comment-block 21 > 4	# The dead canary that makes `zcrypto-engine-error-logs` above trustworthy (T0128). That rule is
infra/grafana/alerts.yaml:720: comment-block 6 > 4	# The execution safety envelope (cli/engine/execgate.py, `_ExecGauges` in cli/engine/command.py):
infra/grafana/alerts.yaml:990: comment-block 5 > 4	# Scoped to host="nas" (spec 00069 D7): ops's Alloy also ships node_load1 (it sets
infra/grafana/alerts.yaml:1031: comment-block 12 > 4	# Selects on the `level` LABEL, not a `|= "ERROR"` grep of the line: Alloy parses our Python
infra/grafana/alerts.yaml:1096: comment-block 32 > 4	# The DEAD-MAN, and the only rule that fires on SILENCE. Every other rule needs the archive-pull
infra/grafana/alerts.yaml:1170: comment-block 5 > 4	# --- Reconciler: the redundant capture secondary + gap healing (spec 00050 Role C) ---------------
infra/grafana/alerts.yaml:1226: comment-block 5 > 4	# The ledger scan is O(ledger) and invisible inside cycle_duration until it dominates, which is
infra/grafana/alerts.yaml:1270: comment-block 7 > 4	# Why a SECOND rule rather than a higher threshold on the one above: this is the memory failure,
infra/grafana/alerts.yaml:1359: comment-block 16 > 4	# PERMANENT LOSS. Residual seconds are silence that NEITHER mirror covered -- both_streams_silent
infra/grafana/alerts.yaml:1414: comment-block 7 > 4	# Per-mirror, so the alert instance names WHICH host went quiet -- `source="primary"` and
infra/grafana/alerts.yaml:1460: comment-block 20 > 4	# The degrading-primary detector (T0003, resolved, records the origin).
infra/grafana/alerts.yaml:1607: comment-block 8 > 4	# --- Ops node (spec 00054): the timer jobs, the logs pipeline, and the host itself ---------------
infra/grafana/alerts.yaml:1623: comment-block 8 > 4	# The dead-man for the ops node's overlay-WRITER cycle. The unit and metric names are
infra/grafana/alerts.yaml:1693: comment-block 7 > 4	# OK, not Alerting: the dead-man rule above already owns "the cycle stopped running/succeeding
infra/grafana/alerts.yaml:1801: comment-block 11 > 4	# SUPERSEDES `Ops · verify-replay non-zero exit` (uid zcrypto-ops-verify-replay-exit-nonzero):
infra/grafana/alerts.yaml:1859: comment-block 6 > 4	# Mode (iii): the sweep itself did not complete, regardless of what it found -- a crashed
infra/grafana/alerts.yaml:1953: comment-block 24 > 4	# The incremental sweep (spec 00078) replays hours it has never seen unconditionally and drains
infra/grafana/alerts.yaml:2041: comment-block 5 > 4	# The ONLY durable report of this event. A settled day that stayed unpublished until the
infra/grafana/alerts.yaml:2091: comment-block 5 > 4	# Deliberately LAST_PUBLISH, not last_success. The unhealed path exits 0 by design, so a
infra/grafana/alerts.yaml:2179: comment-block 10 > 4	# Scoped to host="ops": infra/ansible/roles/ops/files/config.alloy sets
infra/grafana/alerts.yaml:2228: comment-block 32 > 4	# Same shape as `NAS · archive-pull ERROR logs` above (level LABEL, not a text grep -- the parse
infra/grafana/alerts.yaml:2312: comment-block 18 > 4	# The canary that closes the ERROR-logs rule's green-when-blind gap for the Alloy-fed half of
infra/grafana/alerts.yaml:2381: comment-block 9 > 4	# The liquidations poller is the ONLY ops workload that bypasses Alloy entirely (direct-ship,
infra/grafana/alerts.yaml:2442: comment-block 17 > 4	# Covers the `zcrypto-*` units, which `zcrypto-ops-log-pipeline-dead` above cannot: a parse
infra/grafana/alerts.yaml:2509: comment-block 19 > 4	# The journal-scoped companion to the canary above, which is scoped to `container="alloy"` and
infra/grafana/alerts.yaml:2572: comment-block 14 > 4	# ---- Capture hosts (zcrypto = primary + engine, zcrypto-red = secondary) --------------------
infra/grafana/alerts.yaml:2593: comment-block 5 > 4	# The unbackfillable L2 spool (/var/lib/zcrypto-capture) is on the root fs, which is why the
infra/grafana/alerts.yaml:2639: comment-block 7 > 4	# The capture VPSes run unattended-upgrades with Automatic-Reboot "false" (T0027, spec 00071):
infra/grafana/alerts.yaml:2895: comment-block 13 > 4	# Recovery from a checksum desync is a BOUNDED LADDER (`cli/capture/desync_recovery.py`):
infra/grafana/alerts.yaml:2946: comment-block 10 > 4	# The second half of T0008's trigger, self-evaluating. The desync rate this was written against
infra/grafana/alerts.yaml:2999: comment-block 12 > 4	# The recovery ladder's resubscribe leg has an alert for how OFTEN it runs (above) and this one
infra/grafana/alerts.yaml:3052: comment-block 10 > 4	# The blackout class: every pair on a host silent at once while the WS reports connected, the
infra/grafana/alerts.yaml:3080: comment-block 12 > 4	# 120 s. The pending period is NOT free here: the gauge is scraped every 60 s
infra/grafana/alerts.yaml:3096: comment-block 17 > 4	# OK, and it is the SAME blindness class as noDataState above rather than a relaxation. When the
infra/grafana/alerts.yaml:3114: comment-block 8 > 4	# 0s, and it is arithmetic rather than impatience: a pending period is added directly to the
infra/grafana/alerts.yaml:3150: comment-block 10 > 4	# The single-stuck-stream class, which nothing else catches: one pair has stopped delivering
infra/grafana/alerts.yaml:3178: comment-block 20 > 4	# 300 s -- roughly twenty times the natural per-pair maximum, and ~10x the daemon's own
infra/grafana/alerts.yaml:3232: comment-block 9 > 4	# A breached watermark does not merely warn: cli/capture/command.py's book and trade handlers
infra/grafana/alerts.yaml:3262: comment-block 11 > 4	# 0s, and it is arithmetic rather than impatience. The pending period is NOT free on this rule:
infra/grafana/alerts.yaml:3290: comment-block 8 > 4	# Held rows spilled to a `.held` sidecar for an hour the oracle never CONFIRMED (spec 00103 D6).
infra/grafana/alerts.yaml:3330: comment-block 5 > 4	# --- The hour-rotation residuals (T0037, spec 00103) -------------------------------------------
infra/grafana/alerts.yaml:3343: comment-block 14 > 4	# T0037's residual (a) made visible (spec 00103 D1/D2/D3). Two streams each taking a
infra/grafana/alerts.yaml:3398: comment-block 16 > 4	# T0037's past-dated residual (spec 00109 D1, which narrows spec 00103 D5's predicate). The
infra/grafana/alerts.yaml:3456: comment-block 22 > 4	# CRITICAL, and not because a drifting clock is itself an emergency. Spec 00103 D1b makes this
infra/grafana/alerts.yaml:3562: comment-block 33 > 4	# Deliberately a NEGATIVE match rather than an enumeration of known states: the payload shape
infra/grafana/alerts.yaml:3633: comment-block 24 > 4	# The deliberate COMPLEMENT to zcrypto-capture-venue-not-online, which latches. That rule fires
infra/grafana/alerts.yaml:3695: comment-block 9 > 4	# Liveness, and deliberately NOT the ship-success gauge: the worker skips the push when the
infra/grafana/alerts.yaml:3785: comment-block 5 > 4	# NORMALIZED per core, because the two capture boxes differ in core count: dividing load1 by the
infra/grafana/alerts.yaml:3832: comment-block 29 > 4	# Loki, level LABEL not a text grep -- no regex anywhere in this path (spec 00068 D4). The
infra/grafana/alerts.yaml:3904: comment-block 15 > 4	# Two per-host canaries that make the ERROR rule above trustworthy (mirror zcrypto-ops-log-pipeline-dead).
infra/grafana/alerts.yaml:4019: comment-block 5 > 4	# Fleet · Alloy dark (T0079) -- one rule per host, all `critical`. Uniform severity is deliberate:
infra/grafana/alerts.yaml:4025: comment-block 6 > 4	# --- memory, watched as a ROUTINE and never as a rollout read --------------------------------------
infra/grafana/alerts.yaml:4038: comment-block 11 > 4	# RSS as a fraction of the CONTAINER limit -- the only number that says "how long until the
infra/grafana/alerts.yaml:4102: comment-block 6 > 4	# Alloy gets its OWN bar because it genuinely runs near its ceiling and the app daemons do not:
infra/grafana/alerts.yaml:4157: comment-block 9 > 4	# Read the hourly FLOOR, never a sample -- the segment-rotation sawtooth spans several MiB and
infra/grafana/alerts.yaml:4190: comment-block 5 > 4	# PROVISIONAL: 64 MiB of floor growth in a day. No real leak has ever been measured on
infra/grafana/alerts.yaml:4223: comment-block 6 > 4	# `RestartCount` was a bake abort signal read by hand on the host; it has no metric (no
infra/grafana/alerts.yaml:4280: comment-block 11 > 4	# `{host="nas"}` (spec 00069 D7): the NAS's config.alloy sets
infra/grafana/alerts.yaml:4497: comment-block 8 > 4	# T0083 mutual watchdog, Grafana half. Owns two failures in one rule: (a) any healthchecks.io
infra/grafana/alerts.yaml:4597: comment-block 9 > 4	# Either end reporting a stale handshake is the failure -- PersistentKeepalive=25 means a healthy
infra/grafana/alerts.yaml:4645: comment-block 8 > 4	# min across every zaccess_tls_not_after_seconds series -- both edge probes (target="tmux"|
infra/nas/README.md:7: section 2839 > 2048	## Deploy (Ansible — the `nas` role, T0056)
infra/nas/README.md:42: section 2842 > 2048	### One-time bootstrap (hand-placed once; not Ansible-managed)
infra/nas/README.md:68: section 7012 > 2048	## Env-var contract
infra/nas/README.md:104: table-row 227 > 200	`HOT_SOURCE`
infra/nas/README.md:114: section 2615 > 2048	## The `hot/` hub push channel (spec 00056 D2)
infra/nas/README.md:132: section 5445 > 2048	## Correcting the reconcile ledger (T0044)
infra/nas/compose.yaml:1: comment-block 11 > 4	# The NAS archive-pull stack (spec 00048 Role A): always-on pull and hash-verify of the VPS capture
infra/nas/compose.yaml:14: comment-block 5 > 4	# The digest pin arrives via the ansible-rendered .env: the same x86 image the VPS capture
infra/nas/compose.yaml:32: comment-block 6 > 4	# The healed overlay. OPS-5 (spec 00054 D4) inverted who writes it: the ops node is the
infra/nas/compose.yaml:52: comment-block 7 > 4	# OPS-5 (spec 00054 D4): the NAS PULLS the overlay and never receives a push, which preserves
infra/nas/compose.yaml:97: comment-block 5 > 4	# NAS telemetry stack (spec 00049 Role B): Grafana Alloy ships host metrics and both containers'
infra/nas/compose.yaml:108: comment-block 8 > 4	# Run as the dedicated non-root, non-secret-owning user created on the NAS at deploy. §8 posture
infra/nas/compose.yaml:117: comment-block 5 > 4	# The supplementary gid is DSM's `log` group, which owns the volatile journal this stack reads:
infra/nas/compose.yaml:149: comment-block 5 > 4	# The DIRECTORY, not the file. A single-file bind mount binds the inode, so a later atomic
infra/nas/pull-entrypoint.sh:2: comment-block 5 > 4	# In-container scheduler for the NAS archive-pull stack (spec 00048 Role A/B). It is the container's
infra/nas/pull-entrypoint.sh:10: comment-block 11 > 4	# Emit the SAME line shape `zcrypto`'s Python logging emits, down to the comma before the
infra/nas/pull-entrypoint.sh:77: comment-block 12 > 4	# T0058: the reconcile gate's ground truth. The ops-node writer reads this file through the read-
infra/nas/pull-entrypoint.sh:105: comment-block 16 > 4	# Role B: score the gate on the freshly-pulled journal and emit it as a Prometheus textfile
infra/nas/pull-entrypoint.sh:128: comment-block 6 > 4	# OPS-2 (spec 00051): the ops node's liquidations tree. Binance force-orders are not backfillable,
infra/nas/pull-entrypoint.sh:176: comment-block 19 > 4	# OPS-6 (spec 00056 D2/D4): the hot-cluster working set the ops node authors, pulled into the hot/
infra/ops/README.md:43: section 2084 > 2048	### The `sync_liquidations` replication channel (the NAS pulls this node)
infra/ops/README.md:69: section 2619 > 2048	### Textfile metrics
infra/ops/README.md:86: table-row 394 > 200	`ops_verify_replay_audit_mismatches`
infra/ops/README.md:93: section 2198 > 2048	## Overlay writer + panel (OPS-4/OPS-5, specs 00052/00054; re-plumbed by T0058)
infra/ops/README.md:101: table-row 544 > 200	`zcrypto-archive-pull.timer`
infra/ops/README.md:194: section 3249 > 2048	## Alloy telemetry stack (Task 1, spec 00054 D1/D7)
infra/runbooks/README.md:5: section 2662 > 2048	## Scope — what belongs here, and what does not
infra/runbooks/README.md:21: section 2547 > 2048	### [`capture.md`](capture.md) — the venue feed and the archive's hour boundaries
infra/runbooks/README.md:50: section 2336 > 2048	### [`ops.md`](ops.md) — the nightly archive sweep and the tape-bars dataset
infra/runbooks/README.md:65: section 2084 > 2048	### [`engine.md`](engine.md) — the trading engine and its order path
infra/runbooks/README.md:159: section 2169 > 2048	### [`drills-order-path.md`](drills-order-path.md) — induce the fault where money is at stake
infra/runbooks/capture-daemon.md:17: section 2738 > 2048	### What it means
infra/runbooks/capture-daemon.md:39: section 3142 > 2048	### What to do
infra/runbooks/capture-daemon.md:124: section 2933 > 2048	### What to do
infra/runbooks/capture-daemon.md:155: section 3238 > 2048	### What it means
infra/runbooks/capture-daemon.md:164: table-row 210 > 200	`desync recovery: pair=… still desynced after bounded retries -- forcing a full reconnect`
infra/runbooks/capture-daemon.md:168: table-row 206 > 200	`WS reconnect still failing after N consecutive attempts`
infra/runbooks/capture-daemon.md:170: table-row 456 > 200	`an uncommitted merge is in the way …` / `an interrupted merge beside a committed final — left untouched …` / `parts beside a readable final — ambiguous, left untouched …` / `merge failed …`
infra/runbooks/capture.md:25: section 4725 > 2048	### What to do
infra/runbooks/capture.md:99: section 2609 > 2048	### What it means
infra/runbooks/capture.md:107: table-row 372 > 200	**(a) two bogus stamps in one closing window**
infra/runbooks/capture.md:108: table-row 361 > 200	**(b) a clock leading over five minutes, plus one bogus stamp**
infra/runbooks/capture.md:109: table-row 388 > 200	**past-dated first stamp**
infra/runbooks/capture.md:113: section 2704 > 2048	### What to do
infra/runbooks/capture.md:173: section 8295 > 2048	### What it means
infra/runbooks/drills-order-path.md:9: section 5172 > 2048	## Standing rules — these bind every section below
infra/runbooks/drills-order-path.md:20: section 2599 > 2048	## How every bound on this page was derived
infra/runbooks/drills-order-path.md:203: section 2271 > 2048	### Must fire
infra/runbooks/drills-order-path.md:416: section 2614 > 2048	### Record
infra/runbooks/drills-telemetry.md:7: section 2567 > 2048	## Standing rules — these bind every section below
infra/runbooks/drills-telemetry.md:17: section 7851 > 2048	## How every bound on this page was derived
infra/runbooks/drills-telemetry.md:64: section 2397 > 2048	### Must fire
infra/runbooks/drills-telemetry.md:86: section 2696 > 2048	### Record
infra/runbooks/drills-telemetry.md:170: section 2588 > 2048	### Induce
infra/runbooks/drills-telemetry.md:379: section 4289 > 2048	### Preconditions
infra/runbooks/drills-telemetry.md:524: section 4130 > 2048	### What it means
infra/runbooks/drills-telemetry.md:535: table-row 253 > 200	L
infra/runbooks/drills-telemetry.md:555: section 4347 > 2048	### What to do
infra/runbooks/engine-procedures.md:15: section 4512 > 2048	### What it means
infra/runbooks/engine-procedures.md:84: section 14322 > 2048	#### 1. Pre-probe — before anything touches the host
infra/runbooks/engine-procedures.md:154: section 11028 > 2048	#### 2. Arm — two keys, in this order
infra/runbooks/engine-procedures.md:190: section 7750 > 2048	#### 3. Drill before money — both drills green before any funded plan
infra/runbooks/engine-procedures.md:264: section 8730 > 2048	#### 4. Execute — the funded plans
infra/runbooks/engine-procedures.md:323: section 4226 > 2048	#### 5. Disarm — both keys down, the second one the same day
infra/runbooks/engine-procedures.md:334: section 8242 > 2048	#### 6. Verify by outcome — the window is not closed until every line here reads true
infra/runbooks/engine-procedures.md:407: section 2953 > 2048	### What it means
infra/runbooks/engine-procedures.md:421: section 4778 > 2048	### What to do
infra/runbooks/engine-procedures.md:459: section 3264 > 2048	### What it means
infra/runbooks/engine-procedures.md:477: section 5533 > 2048	### What to do
infra/runbooks/engine-procedures.md:522: section 3049 > 2048	### The read-only dry run that proves the five reads
infra/runbooks/engine.md:17: section 2437 > 2048	### What it means
infra/runbooks/engine.md:30: section 3228 > 2048	### What to do
infra/runbooks/engine.md:252: section 3178 > 2048	### What to do
infra/runbooks/engine.md:291: section 2148 > 2048	### What you are seeing
infra/runbooks/engine.md:318: section 3464 > 2048	### What to do
infra/runbooks/engine.md:352: section 2112 > 2048	### What it means
infra/runbooks/engine.md:406: section 3181 > 2048	### What to do
infra/runbooks/engine.md:450: section 2907 > 2048	### What to do
infra/runbooks/gate.md:27: section 2702 > 2048	### What to do
infra/runbooks/gate.md:65: section 3197 > 2048	### What to do
infra/runbooks/gate.md:97: section 2561 > 2048	### What to do
infra/runbooks/gate.md:128: section 2994 > 2048	### What to do
infra/runbooks/gate.md:160: section 3070 > 2048	### What to do
infra/runbooks/hosts.md:31: section 2346 > 2048	### What to do
infra/runbooks/hosts.md:98: section 2806 > 2048	### What to do
infra/runbooks/hosts.md:143: section 2268 > 2048	### What it means
infra/runbooks/hosts.md:162: section 3684 > 2048	### What to do
infra/runbooks/nas.md:27: section 2103 > 2048	### What to do
infra/runbooks/nas.md:85: section 2472 > 2048	### What to do
infra/runbooks/nas.md:122: section 2166 > 2048	### What it means
